   	-> LOADING ARTICLES... <- 20230209_151103
   	-> ARTICLES LOADED... <- 20230209_151252
   	-> SENDING ARTICLES TO SAGE X3 <- 20230209_151304
Checking connection to SAGE X3... 20230209_151304
1 Art OK : 20230209_151449
1 Art OK : 20230209_151449
1 Art OK : 20230209_151449
1 Art OK : 20230209_151450
1 Art OK : 20230209_151450
1 Art OK : 20230209_151450
1 Art OK : 20230209_151451
1 Art OK : 20230209_151451
1 Art OK : 20230209_151451
1 Art OK : 20230209_151451
1 Art OK : 20230209_151452
1 Art OK : 20230209_151452
1 Art OK : 20230209_151452
1 Art OK : 20230209_151453
1 Art OK : 20230209_151453
1 Art OK : 20230209_151453
1 Art OK : 20230209_151454
1 Art OK : 20230209_151454
1 Art OK : 20230209_151454
1 Art OK : 20230209_151454
1 Art OK : 20230209_151455
1 Art OK : 20230209_151455
1 Art OK : 20230209_151455
1 Art OK : 20230209_151456
1 Art OK : 20230209_151456
1 Art OK : 20230209_151456
1 Art OK : 20230209_151456
1 Art OK : 20230209_151457
1 Art OK : 20230209_151457
1 Art OK : 20230209_151457
1 Art OK : 20230209_151458
1 Art OK : 20230209_151458
1 Art OK : 20230209_151458
1 Art OK : 20230209_151459
1 Art OK : 20230209_151459
1 Art OK : 20230209_151459
1 Art OK : 20230209_151459
1 Art OK : 20230209_151500
1 Art OK : 20230209_151500
1 Art OK : 20230209_151500
1 Art OK : 20230209_151501
1 Art OK : 20230209_151501
Error X3 : Format incorrect : 20230209_151501
Error X3 : Erreur zone [M:ITM0]ITMREF : 20230209_151501
Error X3 : Vérifiez les coefficients rattachés à cette unité ! : 20230209_151501
Error X3 : Attention, la modification de l'unité d'achat ou du coefficient ne doit se faire que si aucun document actif ne l'utilise ! : 20230209_151501
1 Art OK : 20230209_151501
Error X3 : Format incorrect : 20230209_151502
Error X3 : Erreur zone [M:ITM0]ITMREF : 20230209_151502
Error X3 : Vérifiez les coefficients rattachés à cette unité ! : 20230209_151502
Error X3 : Attention, la modification de l'unité d'achat ou du coefficient ne doit se faire que si aucun document actif ne l'utilise ! : 20230209_151502
1 Art OK : 20230209_151502
1 Art OK : 20230209_151502
1 Art OK : 20230209_151503
1 Art OK : 20230209_151503
1 Art OK : 20230209_151503
1 Art OK : 20230209_151504
1 Art OK : 20230209_151504
1 Art OK : 20230209_151504
1 Art OK : 20230209_151505
1 Art OK : 20230209_151505
1 Art OK : 20230209_151505
1 Art OK : 20230209_151506
1 Art OK : 20230209_151506
